[0.008s] Invoking command in '/home/preethiveemuthukumarasamy/dev_ws/build/my_package': CMAKE_PREFIX_PATH=/opt/ros/iron /usr/bin/cmake --build /home/preethiveemuthukumarasamy/dev_ws/build/my_package -- -j16 -l16
[0.031s] Invoked command in '/home/preethiveemuthukumarasamy/dev_ws/build/my_package' returned '0': CMAKE_PREFIX_PATH=/opt/ros/iron /usr/bin/cmake --build /home/preethiveemuthukumarasamy/dev_ws/build/my_package -- -j16 -l16
[0.050s] Invoking command in '/home/preethiveemuthukumarasamy/dev_ws/build/my_package': CMAKE_PREFIX_PATH=/opt/ros/iron /usr/bin/cmake --install /home/preethiveemuthukumarasamy/dev_ws/build/my_package
[0.054s] -- Install configuration: ""
[0.054s] -- Execute custom install script
[0.055s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/launch/listener.launch.py
[0.059s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/launch/talker.launch.py
[0.063s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/ament_index/resource_index/package_run_dependencies/my_package
[0.067s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/ament_index/resource_index/parent_prefix_path/my_package
[0.071s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/environment/ament_prefix_path.sh
[0.075s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/environment/ament_prefix_path.dsv
[0.079s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/environment/path.sh
[0.082s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/environment/path.dsv
[0.086s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/local_setup.bash
[0.090s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/local_setup.sh
[0.094s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/local_setup.zsh
[0.098s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/local_setup.dsv
[0.102s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/package.dsv
[0.106s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/ament_index/resource_index/packages/my_package
[0.109s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/cmake/my_packageConfig.cmake
[0.116s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/cmake/my_packageConfig-version.cmake
[0.120s] -- Symlinking: /home/preethiveemuthukumarasamy/dev_ws/install/my_package/share/my_package/package.xml
[0.129s] Invoked command in '/home/preethiveemuthukumarasamy/dev_ws/build/my_package' returned '0': CMAKE_PREFIX_PATH=/opt/ros/iron /usr/bin/cmake --install /home/preethiveemuthukumarasamy/dev_ws/build/my_package
